asset_name;tahun_bulan;open;high;low;close;volume
Ethereum;2025-06;2529.0967;2877.6294;114.45;2486.4644;597782871981.0
Ethereum;2025-07;2486.4285;3940.6521;259.1947;3696.7078;968856663867.0
Ethereum;2025-08;3696.1443;4953.7329;335.7939;439.0019;1359826730128.0
Ethereum;2025-09;438.9626;4763.3613;189.85;4145.9575;1053486666675.0
Ethereum;2025-10;4146.0337;4755.2202;412.5542;3847.0803;1395430918350.0
Ethereum;2025-11;3847.1714;3914.8755;287.1228;2992.1125;998301001042.0
Ethereum;2025-12;2991.9231;3446.6228;279.1334;2967.0376;664461022738.0
Ethereum;2026-01;2966.9973;3397.8977;275.1645;2445.0918;733198675812.0
Ethereum;2026-02;2445.0693;2472.6462;190.6822;1965.0505;787325391798.0
Ethereum;2026-03;1965.3903;2384.4666;82.59;2104.7083;635968281816.0
Ethereum;2026-04;2104.7175;2464.7834;204.2176;2315.6902;425681394706.0
Litecoin;2021-01;124.6728;185.7803;12.6253;129.5708;284508868799.0
Litecoin;2021-02;129.5746;245.9575;16.9789;164.9272;257492279860.0
Litecoin;2021-03;164.9831;227.8301;18.3475;197.4991;132914357105.0
Litecoin;2021-04;197.5244;335.0245;19.5534;271.1671;198962657663.0
Litecoin;2021-05;271.1427;412.9601;15.7612;188.0337;220555193127.0
Litecoin;2021-06;188.1176;197.6843;15.4389;144.1358;72749710958.0
Litecoin;2021-07;144.1366;147.8361;13.2155;144.9332;45265293423.0
Litecoin;2021-08;144.5099;191.3827;17.2782;171.6592;63981066542.0
Litecoin;2021-09;171.4652;233.0569;7.34;15.3148;100051559818.0
Litecoin;2021-10;153.2937;214.0216;16.2345;191.8164;85277846545.0
Litecoin;2021-11;19.2045;294.5629;18.4106;208.0145;83532806891.0
Litecoin;2021-12;207.6366;217.5063;14.1773;146.5147;42339536037.0
Litecoin;2022-01;146.5369;153.1429;9.9761;109.5877;31483802715.0
Litecoin;2022-02;109.5894;143.2329;10.6418;113.4746;25533469158.0
Litecoin;2022-03;113.4761;133.9068;9.7237;12.3716;24976367565.0
Litecoin;2022-04;123.7317;129.3058;12.2112;9.6166;21322391305.0
Litecoin;2022-05;96.1679;106.8041;6.5178;68.4114;24875997752.0
Litecoin;2022-06;6.8417;70.0764;2.37;53.6484;20115554597.0
Litecoin;2022-07;5.3699;64.3051;4.6663;59.9095;15603024637.0
Litecoin;2022-08;59.9156;65.6277;5.6889;53.8567;14232466575.0
Litecoin;2022-09;53.8584;67.0664;5.1177;5.3397;16387540758.0
Litecoin;2022-10;5.3403;57.4551;2.16;55.0844;11701958250.0
Litecoin;2022-11;55.0856;81.5634;4.9332;79.2977;31829228232.0
Litecoin;2022-12;79.2911;83.8239;6.6107;69.9962;14389524551.0
Litecoin;2023-01;70.0028;97.4609;3.16;94.3081;19437163954.0
Litecoin;2023-02;94.2974;104.4802;9.1604;93.7928;16639350531.0
Litecoin;2023-03;93.7954;98.1163;9.0983;89.6841;20095488402.0
Litecoin;2023-04;89.6864;103.0496;8.5433;88.5336;16603780604.0
Litecoin;2023-05;88.5123;94.8734;7.8178;9.0539;15901706962.0
Litecoin;2023-06;90.5375;110.7953;7.4238;108.1653;18937123101.0
Litecoin;2023-07;108.2017;114.4971;8.8219;92.2431;21372149464.0
Litecoin;2023-08;92.2443;93.8204;6.3279;63.9514;12939544498.0
Litecoin;2023-09;63.9461;68.2629;2.59;66.0696;7591830884.0
